topic,bag_stamp,header_stamp,experiment_id,method_id,path_progress_actual_1,path_progress_actual_2,path_progress_actual_3,path_velocity_actual_1,path_velocity_actual_2,path_velocity_actual_3,common_velocity_lower_bound,common_velocity_upper_bound,common_velocity_reference,channel_input_raw_1,channel_input_raw_2,channel_input_raw_3,channel_input_limited_1,channel_input_limited_2,channel_input_limited_3
/multi_agv/controller_state,1788412650.7278333,1788412650.7271593,exp2a_m1_r1_unloaded_serial,M1_R1,0.34279854236823676,0.34168330802132735,0.34243274087709924,0.04618095821514795,0.04271751026803479,0.05626301535008518,-0.019999999999999997,0.11,0.04993257421614433,0.019740578158189276,0.04304791044844861,-0.032416752767424874,0.019740578158189276,0.04304791044844861,-0.032416752767424874
/multi_agv/controller_state,1788412650.7378554,1788412650.7372935,exp2a_m1_r1_unloaded_serial,M1_R1,0.3442470550314132,0.34339017064703503,0.3422830892576205,0.05451078798414018,0.05927307882603752,0.031234689956022216,-0.019999999999999997,0.11,0.049932471047802,-0.02780387903539254,-0.04684487131726337,0.11302984452342543,-0.02780387903539254,-0.04684487131726337,0.11302984452342543
/multi_agv/controller_state,1788412650.7478213,1788412650.7472227,exp2a_m1_r1_unloaded_serial,M1_R1,0.34484819811818884,0.3438097336227033,0.3428600973037001,0.05865848178215819,0.05788365688258528,0.03946361496510933,-0.019999999999999997,0.11,0.049932471047802,-0.049487458810179144,-0.03939483204600396,0.06647660091124649,-0.049487458810179144,-0.03939483204600396,0.06647660091124649
/multi_agv/controller_state,1788412650.757709,1788412650.75718,exp2a_m1_r1_unloaded_serial,M1_R1,0.345668258056912,0.3438068677523477,0.34492549605101136,0.06060549804319774,0.046259092909586304,0.06583195674346426,-0.019999999999999997,0.11,0.049932471047802,-0.06124745447837737,0.021966727199841433,-0.09205321863662828,-0.06124745447837737,0.021966727199841433,-0.09205321863662828
/multi_agv/controller_state,1788412650.7677987,1788412650.7672422,exp2a_m1_r1_unloaded_serial,M1_R1,0.34538739228289167,0.34421189387851986,0.34536853864093575,0.04142711858171118,0.04713094585776881,0.06369509594492713,-0.019999999999999997,0.11,0.049932471047802,0.04047503990483135,0.018136177458997368,-0.07987807716391218,0.04047503990483135,0.018136177458997368,-0.07987807716391218
/multi_agv/controller_state,1788412650.7778149,1788412650.777247,exp2a_m1_r1_unloaded_serial,M1_R1,0.3458300063698883,0.3449167821679054,0.34597617830976185,0.040506107803649105,0.04945818359481147,0.06110612153387827,-0.019999999999999997,0.11,0.04993191471277999,0.045404221959013044,0.005291101549342833,-0.06622539052498261,0.045404221959013044,0.005291101549342833,-0.06622539052498261
/multi_agv/controller_state,1788412650.7876785,1788412650.7871597,exp2a_m1_r1_unloaded_serial,M1_R1,0.34633539805697583,0.34538092412777965,0.34648148845021326,0.04506096346972645,0.05114987760424871,0.06151969613816349,-0.019999999999999997,0.11,0.04993191471277999,0.022394209675951158,-0.003045683392877681,-0.06859671914314672,0.022394209675951158,-0.003045683392877681,-0.06859671914314672
/multi_agv/controller_state,1788412650.7981079,1788412650.7971933,exp2a_m1_r1_unloaded_serial,M1_R1,0.347721773973152,0.34625189954465196,0.34735567414625307,0.05915166138036782,0.05545135925195522,0.06378107584370478,-0.019999999999999997,0.11,0.04993191471277999,-0.05420003650802102,-0.026812717340168046,-0.08354810516781583,-0.05420003650802102,-0.026812717340168046,-0.08354810516781583
/multi_agv/controller_state,1788412650.8078063,1788412650.8071628,exp2a_m1_r1_unloaded_serial,M1_R1,0.3481400950531384,0.3465843894267854,0.34781838900652645,0.05773510943531068,0.0526756716471549,0.06258323593137555,-0.019999999999999997,0.11,0.04993191471277999,-0.04654445223280114,-0.011881266909821313,-0.07669405477509805,-0.04654445223280114,-0.011881266909821313,-0.07669405477509805
/multi_agv/controller_state,1788412650.818041,1788412650.8173244,exp2a_m1_r1_unloaded_serial,M1_R1,0.3490830208199693,0.3483378615977874,0.34854836402545386,0.0555928681871084,0.062408681638755154,0.053349679734165135,-0.019999999999999997,0.11,0.04993142785240338,-0.03813424357075706,-0.06813327781709085,-0.02639921564684688,-0.03813424357075706,-0.06813327781709085,-0.02639921564684688
