evidence_scope,phase,metric,M1b_R1,M1_R1
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,applied_wheel_peak_mps,0.16,0.14745835605561622
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,physical_speed_limiter_max_continuous_seconds,0.26998162269592285,0.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,physical_speed_limiter_samples,27,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,physical_speed_limiter_first_relative_seconds,3.4302947521209717,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,physical_speed_limiter_first_input_output,"{'agv1_left': {'input_degraded_or_raw': 0.11375224188031871, 'applied': 0.11375224188031871}, 'agv1_right': {'input_degraded_or_raw': 0.09326489064028193, 'applied': 0.09326489064028193}, 'agv2_left': {'input_degraded_or_raw': 0.16290021626902118, 'applied': 0.16}, 'agv2_right': {'input_degraded_or_raw': 0.10391606942160192, 'applied': 0.10391606942160192}, 'agv3_left': {'input_degraded_or_raw': 0.08863771612778205, 'applied': 0.0889961883760035}, 'agv3_right': {'input_degraded_or_raw': 0.06854766101788494, 'applied': 0.06873879909549936}}",
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,lateral_error_peak,0.03633185549321699,0.033170206562519414
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,lateral_error_IAE,0.05671998508666004,0.0539075847369793
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,lateral_error_rms,0.019299795814143258,0.01813081333789861
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,longitudinal_error_peak,0.007287934008894957,0.005409093258853005
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,longitudinal_error_IAE,0.013238984846763219,0.009624532693806625
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,pulse,longitudinal_error_rms,0.00411408843940005,0.0029415923355469134
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,samples,1500,1500
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,observation_duration_seconds,15.000594139099121,15.000167846679688
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,robust_margin_minimum,0.0,1.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,robust_margin_p05,1.0,1.0
